a	b	c	d	e	f	g	h	i	j
142	6.34	2.63	2.74	10.59	2.4	2.05	6.59	1.17	1.27	2.22
143	2.51	9.67	10.53	3.29	4.48	3.07	1.96	19.22	1.21	1.38
144	2.51	3.25	20.01	28.07	22.63	12.81	6.99	30.78	3.3	24.71
145	14.25	4.93	20.77	1.7	8.66	5.4	2.52	14.87	2.18	1.68
146	4.47	11.51	2.72	4.42	12.96	1.97	11.3	2.59	4.07	16.41
147	1.84	9.61	8.02	6.98	5.95	2.58	1.78	2.71	2.79	4.39
148	11.56	2.74	18.76	27.73	8.23	1.28	24.06	22.84	26.57	8.29
149	1.22	4.32	8.09	15.03	10.67	3.9	1.25	6.44	8.4	1.11
150	17.52	2.67	1.68	4.34	11.08	24.04	28.38	24.74	33.14	23.08
151	8.86	2.15	14.93	3.48	4.9	2.24	1.44	12.35	4.01	21.02
152	6.28	3.49	1.48	1.01	8.86	3.54	22.24	10.9	29.31	2.08
153	3.46	22.8	22.1	7.79	18.11	4.69	2.46	0.81	25.09	1.41
154	3.34	3.79	3.21	28	1.21	13.58	2.01	5.18	31.94	1.75
155	5.96	13.91	8.57	2.65	5.91	19.64	2.69	11.84	18.93	3.11
156	2.26	2.75	2.36	18.33	10.86	15.22	16.2	5.02	22.14	1.9
157	6.4	20	2.08	2.13	6.99	16.82	5.31	31.79	1.65	1.92
158	1.41	1.8	1.35	2.28	3.02	17.63	15.4	1.33	4.5	3
159	2.92	1.28	4.43	5.84	2.56	22.69	31.17	2.38	5.61	25.27
160	2.12	2.84	1.08	14.91	18.79	0.92	17.24	2.44	2.18	1.56
161	3.17	17.39	26.17	23.5	11.09	31.37	8.16	8.1	6.87	12.21
162	23.69	25.11	5.97	26	3.05	20.78	19.13	9.43	26.44	5.44
163	4.74	1.25	4.06	4.03	1.25	5.44	5.41	2.21	1.74	3.74
164	17.46	12.83	24.75	3.5	22.89	27.64	8.99	12.4	26.02	3.83
165	22.32	2.44	13.69	2.54	19.58	31.28	6.33	1.66	6.65	13.47
166	4.1	8.96	13.9	1.26	9.1	11.82	5.7	3.77	23.33	2.53
167	1.17	1.55	22.6	1.18	5.47	5.53	3.74	31.85	24.18	14.19
168	3.45	26.91	1.81	1.63	1.83	2.04	16.18	1.59	14.35	27.8
169	12.16	1.15	15.51	1.69	13.56	1.12	2.21	1.19	1.46	10.25
170	3.41	6.12	6.99	15.52	28.36	27.14	4.6	8.91	3.48	7.88
171	9.78	28.53	5.55	1.57	2.2	1.19	3.98	22.3	7.92	7.05
172	18.25	1.44	1.44	8.88	23.7	18.76	14.34	1.29	3.32	14.05
173	18.78	2.16	7.79	2.2	32.77	24.92	3.56	5.25	15.95	13.16
174	3.98	22.6	24.18	5.65	1.29	0.89	12.61	29.76	5.07	11.1
175	4.05	3.46	1.62	1.42	3.04	3.77	3.56	1.87	2.16	31.44
176	26.45	15.11	6.77	0.9	18.39	11.14	12.16	25.93	1.52	5.06
177	9.15	3.17	10.37	8.62	5.1	3.53	1.11	11.75	1.31	1.77
178	13.62	1.65	14.45	2.18	26.98	4.12	5.37	16.18	28.58	2.27
179	8.8	9.27	2.07	4.25	2.61	2.22	11.98	0.97	15.71	4.68
180	27.44	6.54	7.32	11.35	1.16	9.36	29.84	20.63	2.51	3.56
181	2.73	27.32	1.93	1.68	19.35	1.18	27.27	15.34	3.62	3.18
182	1.8	7.14	3.08	7.73	12.86	1.29	2.52	3.97	5.92	1.66
183	18.57	27.14	1.89	2.07	1.7	9.91	2.38	24.53	1.87	4.56
184	5.72	14.63	1.57	23.98	5.46	29.93	27.79	3.1	4.95	5.26
185	19.98	1.47	2.36	7.29	12.67	23.19	12.78	2.69	1.77	6.35
186	1.95	17.95	2.96	2.26	1.45	15.86	12.12	19.38	30.94	9.01
187	12.58	1.56	20.1	12.83	16.15	17.78	8.51	2.66	13.76	20.87
188	9.83	14.47	1.37	2.48	2.24	1.29	1.28	3.78	5.22	10.6
189	25.89	1.32	3.08	13.84	18.85	6.56	16.03	1.3	3.27	11.79
190	6.31	1.22	2.76	28.65	1.68	7.09	2.56	1.44	2.04	2.06
191	10.68	1.32	5	5.75	9.44	1.1	2.66	13.79	4.04	1.47
192	3.71	3.45	20.24	23.05	14.5	1.16	12.24	30.13	2.83	1.5
193	1.39	30.7	3.19	29.54	3.36	20	21.52	9.65	2.2	1.37
194	27.38	1.49	7.4	2.04	25.27	2.56	11.51	9.34	5.97	6.01
195	2.33	5.97	11.26	2.66	2.69	2.24	1.28	4.88	15.94	16.32
196	7.4	2.47	4.45	10.99	3.18	31.81	4.08	14.22	4.72	4.53
197	1.77	2.13	19.43	19.64	4.27	2.18	3.18	2.61	1.32	6.13
198	21.72	2	25.96	4.8	8.07	30.24	23.39	4.4	4.52	2.56
199	2.81	2.66	4.59	3.88	5.42	1.51	4.93	5.09	10.49	21.62
200	14	1.69	2.86	1.41	10.49	1.34	3.57	12.26	13.7	11.9
201	2.71	19.71	12.69	13.65	0.98	1.8	11.23	8	17.18	2.36
202	2.3	9.21	19.73	14.96	1.79	32.13	22.07	3.84	2.21	6.12
203	6.73	9.24	3.53	4.56	20.26	5.62	13.53	1.12	3.83	9.72
204	2.53	24.85	5.14	3.4	11.55	3.5	4.74	10.08	19.23	18.79
205	1.81	3.88	20.68	3.8	13.6	6.44	5.28	1.23	13.93	1.85
206	6.82	17.68	3.97	1.19	6.29	2.15	20.12	3.41	7.29	9.78
207	7.98	2	12.83	4.92	8.24	1.44	1.38	1.08	1.57	14.57
208	1.63	2.06	10.24	5.18	1.97	3	1.18	1.32	4.14	34.16
209	2.38	1.93	20.98	6.25	5.57	5.27	9.49	6.06	13.91	2.36
210	12.3	2.01	1.13	1.23	2.62	2.43	4.65	3.42	9.58	20.4
211	29.49	32.47	12.04	1.19	15.8	4.66	1.36	2.98	2.15	12.25
212	1.49	6.11	5.01	23.29	13.43	1.31	4.13	1.33	2.56	10.53
213	14.95	17.4	7.94	27.1	4.21	4.78	18.86	12.36	6.34	13.87
214	24.7	10.58	1.76	10.6	5.62	29.24	5.87	0.92	30.2	4.22
215	15.41	24.77	1.1	14.21	1	10.95	18.85	3.35	0.97	1.08
216	2.9	1.43	31.2	12.41	2.93	3.88	3.5	5.28	13.61	14.52
217	10.24	3.03	2.34	1.61	2.09	4.03	15.33	6.41	1.85	17.57
218	31.12	1.01	1.54	1.85	1.25	20.96	13.04	2.27	1.93	5.66
219	24.41	3.31	11.38	1.17	21.34	1.85	6.94	11.93	9.11	20.58
220	4.23	2.04	14.66	9.43	1.07	25	2.76	7.03	1.09	1.63
221	2.52	1.92	2.98	10.02	1.84	2.63	3.25	4.73	6.93	1.25
222	1.66	27.59	15.69	10.01	4.16	26.12	9.69	1.54	17.57	11.17
223	2.7	3.95	3.43	13.41	26.45	1.68	10.69	2	7	19.47
224	5.45	4.92	8.59	2.71	2.09	6.87	12.25	7.99	8.23	13.74
225	25.47	10.83	2.99	14.62	30.97	1.28	13.42	11.85	11.54	2.99
226	5.33	20.33	11.59	6.58	16.07	32.21	2.64	2.47	15.1	2.07
227	2.17	24.08	25.8	8.71	6.54	20.28	12.03	1.6	4.91	3.61
228	1.15	5.21	1.57	5.13	15.76	6.51	2.42	2.17	18.41	16.23
229	4.48	12.43	2.1	5.17	1.26	3.08	1.92	24.86	17.24	16.67
230	18.56	17.14	3.15	25.8	1.84	13.44	21.26	16.17	27.53	3.86
231	3.42	11.55	3	8.9	15.11	14.24	25.67	24.47	1.09	6.85
232	1.53	3.25	4.06	16.7	1.31	7.7	29.29	8.57	20.77	4.75
233	3.44	22.52	5.84	2.18	0.85	6.23	1.37	8.12	1.52	20.81
234	8.52	6.8	8.46	1.72	26.62	11.49	3.56	2.55	1.84	1.94
235	3.79	20.88	7.89	2.28	12.39	11.97	18.69	23.45	3.15	15.28
236	10.48	2.48	22.9	6.52	1.88	5.61	4.42	2.41	11.44	2.76
237	11.41	6.83	7.76	27.44	6.11	2.17	17.81	1.49	11.86	20.86
238	6.58	2.29	3.11	2.55	1.04	4.38	1.48	27.1	8.66	5.91
239	4.8	2.33	5.42	2.15	3.94	16.4	9.04	3.94	7.76	17.27
240	5.03	5.15	7.2	2.73	18.79	2.31	6.16	28.46	7.46	12.32
241	3.73	23.31	1.6	4.77	21.76	3.8	1.17	1.55	22.77	2.72
242	6.26	2.95	13.08	3.34	1.77	3.61	1.53	12.93	3.5	6.89
243	22.89	7.57	8.98	1.92	16.58	6.8	27.28	1.13	4.2	7.48
244	1.55	14.98	1.19	9.38	31.26	5.51	10.74	1.2	9.98	1.24
245	3.81	27.71	11.66	31.81	1.35	4.26	13.66	3.47	5.82	5.33
246	1.75	28.29	3.15	1	6.04	2.86	5.77	1.77	24.78	12.26
247	5.26	3.76	3.59	3.48	1.16	3.54	4.83	29.5	20.91	1.61
248	1.52	5.4	32.23	11.66	1.57	22.71	12.99	5.86	21.71	22.13
249	5.18	1.33	13.64	19.17	17.58	2.26	13.74	10.22	3.85	12.26
250	25.74	3.83	11.42	2.68	2.73	2.81	3.14	10.98	11.59	13.48
251	12.89	11.83	2.47	17.69	8.31	4.68	24.09	7.66	2.16	1.86
252	25.75	1.57	2.41	1.27	1.51	28.25	1.33	19.66	2.78	20.48
253	5.69	2.28	9.94	1.81	2.79	0.89	11.07	1.14	21.37	7.79
254	7.02	1.14	7.87	3.58	2.16	15.57	12.11	17.45	1.84	2.22
255	5.99	12.23	2.4	8.35	19.78	15.89	6.54	7.73	22.05	1.83
256	1.12	1.1	6.62	8.04	1.04	19.93	3.61	28.77	1.41	17.3
257	2.47	1.19	1.25	2.22	1.18	4.11	1.18	1.3	9.28	3.34
258	4.42	2.69	5.56	31.59	25.48	23.91	10.71	6.7	1.08	4.74
259	4.57	1.38	22.77	1.27	1.55	1.27	19.71	15.34	23.83	1.46
260	23.69	9.3	28.3	21.81	9.23	28.18	4.45	24.64	29.79	18.2
261	6.11	14.13	14.01	20.72	21.18	6.97	2.61	31.09	12.75	23.11
262	3.24	1.15	24.58	1.23	4.05	1.95	2.04	5.27	3.11	2.51
263	2.47	8.21	7.53	14.39	1	17.14	16.23	7.18	1	13.3
264	16.39	3.71	8.24	1.62	2.26	14.2	2.76	7.56	1.83	4.62
265	10.65	13.16	22.58	1.83	1.48	1.73	17.2	1.4	18.98	1
266	1.74	10.49	10.09	0.99	1.65	12.16	3.23	9.86	22.09	3.69
267	1.29	1.01	1.3	1.17	5.63	11.83	8.82	1.22	6.52	2.4
268	17.37	10.32	1.93	7.33	2.46	6.77	6.43	8.09	1.65	5.22
269	7.34	19.36	7.44	2.46	13.92	19.48	20.98	1.06	1.27	3.18
270	2.11	6	2.09	24.24	6.92	1.38	5.65	16.5	3.85	22.03
271	1.06	20.89	1.03	17.46	10.81	13.77	2.26	15.48	1.17	2.06
272	1.44	24.41	13.63	25.56	3.33	9.83	11.57	5.66	14.18	30.45
273	3.76	20	22.96	12.18	8.25	23.44	10.43	9.81	1.59	11.31
274	1.91	2.79	26.89	7.31	2.25	28.71	4.01	26.43	3.85	2.25
275	2.69	15.5	1.93	5.26	1.64	19.07	17.51	10.96	8.34	14.42
276	2	5.56	2.98	19.51	1.55	1.41	25.43	2.94	10.74	29.72
277	2.4	29.71	1.47	0.93	12.82	5.86	8.41	24.67	5.14	13.21
278	1.86	1.87	1.08	24.04	4.21	14.11	4.38	7.45	11.7	12.05
279	4.2	1.39	1.88	21.37	8.22	1.2	19.65	1.04	13.73	17.15
280	14.92	2.23	2.33	8.02	10.45	3.71	3.25	8.56	2.57	1.15
281	1.63	2.57	1.6	18.07	2.06	1.54	1.32	24.39	20.79	1.05
282	5.9	30.45	0.99	4.68	2.36	1.22	19.7	1.3	2.18	31.48
283	23.19	9.38	1.08	13.63	5.63	12.88	1.83	30.07	15.95	1.51
284	3.32	11.78	4.43	1.19	2.64	19.44	4.55	5.91	25.27	23.27
285	0.89	2.33	1.99	2.15	31.63	16.17	7.88	14.32	0.93	1.21
286	1.84	30.3	3.11	1.24	1.84	5.75	1.05	2.51	1.4	27.7
287	3.11	5.63	4.97	11.97	18.91	22.74	7.9	1.04	2.55	24.91
288	2.05	7.04	29.48	1.43	17.94	2.7	1.86	8.65	1.13	7.16
289	1.52	16.97	16.55	2.23	3.72	13.71	11.53	6.76	1.15	9.69
290	2.45	3.07	10.13	4.25	23.26	2.54	2.4	1.29	7.37	21.2
291	2.1	2.52	10.33	3.45	3.18	1.34	5.5	2.39	14.08	20.42
292	1.61	3.15	6.93	1.07	9.73	17.54	5.3	1.99	19.52	30.14
293	28.82	12.65	1.36	1.67	7.05	6.21	2	11.67	7.87	11.71
294	2.89	5.77	9.36	4.97	8.72	16.19	3.33	4.29	11	31.27
295	5.27	12.45	2.17	9.16	4.34	1.07	10.1	15.86	2.69	6.94
296	10.8	3.51	7.9	29.33	4.62	4.71	12.62	11.97	2.5	4.82
297	1.83	2.32	28.16	3	1.35	17.1	8.5	1.41	11.34	22.33
298	1.65	1.37	21.29	3.16	1.19	10.46	1.05	0.77	1.14	1.4
299	1.07	1.65	9.27	16.76	2.98	7.02	1.55	3.22	1.22	6.36
300	25.02	5.94	3.91	1.94	23.45	7.37	7	26.14	20.65	1.81
301	9.32	16.62	1.18	16.63	17.5	11.39	3.86	7.42	2.47	2.98
302	1.42	5.33	3.08	6.61	1.88	2.52	9.06	3.4	16.18	1.22
303	5.34	4.44	37.06	2.02	15.56	3.17	19.67	2.89	2.16	4.07
304	4.73	19.97	12.42	2.36	2.01	1.58	3.47	10.13	5.17	8.31
305	3.92	13.86	10.85	26.3	2.97	1.24	1.91	6.8	3.71	20.04
306	27.37	1.04	9.06	30.57	30.49	5.03	1.78	1.7	4.59	11.64
307	1.61	2.12	16.76	24.18	15.65	18.93	4.08	7.95	4.63	2
308	15.25	12.44	7.03	32.63	0.92	6.29	2.55	12.71	14.53	3.8
309	1.53	23.78	20.19	2.96	2.39	1.47	13.91	3.66	10.46	1.77
310	4.46	1.37	29.74	19.52	18.52	1.93	7.54	1.56	5.93	16.87
311	1.75	1.31	8.13	11.77	20.83	4.14	1.89	7.6	17.93	1.09
312	1.65	5.07	1.17	13.41	2.16	7.24	16.66	12.81	4.45	3.81
313	19.79	13.89	6.48	1.97	3.42	1.6	1.19	14.22	7.47	11.71
314	11.51	1.71	8.2	17.66	9.99	5.72	16.81	4.99	10.78	3.75
315	3	10.12	1.86	2.37	21.51	4.17	20.17	2.26	5.78	20.5
316	5.74	1.02	27.4	13.11	5.32	2.57	19.25	5.61	5.08	1.65
317	1.58	8.77	1.22	1.1	3.16	1.52	23.73	12.39	3.49	1.3
318	3.2	4.7	15.29	3.88	1.14	14.2	4.44	32.22	18.03	1.84
319	25.1	13.45	29.04	18.3	7.13	1.21	5.03	27.76	4	1.36
320	8.43	2.15	9.9	3.29	1.21	20.8	17.55	3.96	21.65	8.09
321	10.39	10.23	2.15	9.07	0.84	15.35	9.61	9.4	18.39	13.23
322	3.59	1.74	2.02	1.93	13.98	13.09	28.43	17.55	18.79	7.73
323	3.54	2	16.55	11.69	28.5	9.75	6.86	11.27	2.21	3.17
324	31.52	1.69	2.51	2.84	2.27	2.52	1.87	1.77	4.4	31.41
325	19.21	3.85	18.84	1.85	6.03	10.11	5.46	1.28	1.83	11.63
326	32.48	2.35	5.9	21.97	1.26	9.38	27.37	1.16	8.97	2.48
327	15.25	9.65	25.83	1.5	27.49	10.46	13.64	1.59	6.85	2.39
328	15.07	2.43	16.35	1.2	4.82	7.3	8.23	7.07	5.11	3.84
329	2.67	1.55	29.92	15.94	2.7	28.75	18.57	25.4	22.21	2.92
330	14.95	1.05	23.91	11.91	14.21	6.66	3.39	1.4	8.85	28.51
331	33.27	1.9	14.86	1.34	2.49	15.86	4.06	7.48	10.62	2.22
332	2.46	19.61	4.95	6.46	1.02	14.35	25.66	3.79	9.73	7.31
333	4.23	30.12	22.52	5.65	5.67	8.63	9.85	3.52	5.7	19
334	16.52	3.25	1.3	5.43	29.03	33.04	8.95	3.36	15.44	2.08
