"A"	"B"	"A0"	"D"	"E"	"F"	"G"	"H"	"I"	"C"	"AA"	"AB"	"AC"
"ANO6"	0	0.642857142857143	13.4285714285714	1.57142857142857	32.1	46.375	12.1818181818182	8.15384615384615	32.125	0	0	0	114.333333333333
"B4GALT6"	0	0	12.1428571428571	0	0	27.75	0	0	10.125	0	0	0	0
"ANKRD23"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA1"	0	0	46	0	24.2	258.875	113.909090909091	0	0	208.071428571429	0	27.8571428571429	0
"ARHGDIA"	1.11111111111111	18.7142857142857	12.4285714285714	0.357142857142857	4.2	0	21.6363636363636	15.7692307692308	5	0.428571428571429	0.2	17.5714285714286	0
"BTBD16"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BVES-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARF5"	253.333333333333	302.428571428571	110.857142857143	190.214285714286	236.3	200.875	105.454545454545	230.076923076923	163.375	42.2857142857143	273.8	82.5714285714286	88.6666666666667
"AMACR"	27.5555555555556	4.07142857142857	0	1.35714285714286	0	0	22.3636363636364	18.3846153846154	4	0	0	0	0
"ARFGAP1"	0.222222222222222	0	0	0	0	2.125	0	0	0	8.85714285714286	0	5.14285714285714	0
"ADCY5"	5.55555555555556	0	0	10.9285714285714	36.9	0	0	32.7692307692308	0.0625	0	0	0	0
"AIPL1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAGAB"	0	0.214285714285714	0	0.214285714285714	0	0	6.54545454545455	45.9230769230769	0	0	65.2	0	13
"ALG10"	0	9.07142857142857	0	0	0	0	0	33.8461538461538	0	0	0	0	0
"BRPF3"	8.88888888888889	23.0714285714286	52.1428571428571	0	12.7	0	11.8181818181818	15	31.4375	0.0714285714285714	0	42.4285714285714	59.6666666666667
"BLZF1"	29.7777777777778	0	9.42857142857143	2.14285714285714	0	0	22.8181818181818	1.92307692307692	0	33.7142857142857	0	0	0
"ANAPC13"	174.777777777778	250.714285714286	188.714285714286	88.5714285714286	90.3	97.875	359.090909090909	282.461538461538	267.3125	65.1428571428571	24.6	124.714285714286	0
"BIRC6"	60.2222222222222	113.214285714286	0	41.4285714285714	15.8	0	40.7272727272727	16.5384615384615	20.9375	29.2857142857143	79.8	101	18.6666666666667
"APOA5"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATP6V0E2"	16.6666666666667	47.9285714285714	0	6.64285714285714	18.9	0	22.6363636363636	0	4.1875	0	12.8	0	47
"ANGPTL6"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARHGAP8"	0	0	0	0.571428571428571	0	0	0	0.230769230769231	0.9375	0	0	0	0
"ACAA2"	26.6666666666667	186.714285714286	0	97.5	0	0	0	186.923076923077	58.6875	16.0714285714286	0	76.8571428571429	0
"ASXL3"	0.111111111111111	4.28571428571429	35.4285714285714	7.78571428571429	14.8	0	0	1.69230769230769	2.6875	0	3.2	0	0
"ACP5"	0	0	0	0	0	0	3.09090909090909	0	0	0	0	0	0
"ADORA2A"	0	0	0	0	0	0	3.81818181818182	0	0	0	28.2	0	0
"ALB"	0	0	0	0	0	0	0	0	15.6875	0	0	0	0
"BZW2"	17.1111111111111	145.5	24.4285714285714	7.28571428571429	1.8	0.5	105.909090909091	8.15384615384615	33.5625	68.7142857142857	70.4	12	28.3333333333333
"ADD1"	0.777777777777778	5.42857142857143	118.714285714286	16	77.5	53.75	72.6363636363636	3.46153846153846	6	34.3571428571429	136.6	82.1428571428571	103
"AP4B1"	11.4444444444444	0	0	9.28571428571429	0	0	33.5454545454545	28.1538461538462	2.9375	0	0	0	0
"A1CF"	22.8888888888889	26.2857142857143	0	0.214285714285714	0	0	0	0.0769230769230769	0	0	115.8	0	92.6666666666667
"A2ML1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARL14"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C10orf120"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BAK1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AQP4"	0	0	0	0	0	0	0	0	0.5625	0	0	0	0
"ACTL7B"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD30A"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BNIPL"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C13orf35"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C15orf52"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATF7IP"	122.222222222222	60.1428571428571	44.4285714285714	67.3571428571429	17.2	7.625	0.363636363636364	77.0769230769231	124.875	15.2142857142857	111.4	94.5714285714286	0
"AGBL4"	8.55555555555556	0	0	0	0	0	0	0	0	0	26.8	0	0
"ADCY7"	0	0	0	0.0714285714285714	2.8	0	0	0.0769230769230769	14.875	0	16	23.8571428571429	0
"C12orf45"	12	31.4285714285714	0	8.28571428571429	25.1	0	15.2727272727273	4.38461538461539	7.5625	22.5714285714286	27.2	14	0
"AGTRAP"	0	8.85714285714286	35.2857142857143	24.4285714285714	101.2	1.75	0	23.6153846153846	26.8125	0.928571428571429	0	116.714285714286	0
"ARID3C"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AOC4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BEST3"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALPI"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AGR3"	0	0	0	0	0	0	0	0	16	0	0	0	0
"BTBD3"	0.222222222222222	102.571428571429	0	8.14285714285714	20.2	0	28.8181818181818	0.769230769230769	49.75	0	218.6	0	68
"C10orf95"	0	0	0	0	0	0	0	0	0.1875	0	0	0	0
"ATP1A1OS"	0	0	146	0	0	0	6.18181818181818	37.1538461538462	0	0	0	0	0
"C12orf50"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARPC4-TTLL3"	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0
"C14orf176"	0	0	0	0	0	0	0	0	0	0	0	7.14285714285714	0
"ARL6IP6"	0.111111111111111	7.5	0	0.928571428571429	0.1	45.375	0	3.84615384615385	59.6875	0.0714285714285714	7.4	49.1428571428571	0
"ASAH1"	51.6666666666667	160.285714285714	96.4285714285714	124	53.6	0	59.2727272727273	44.0769230769231	163.625	56.5714285714286	22.2	9.28571428571429	1340.66666666667
"AVL9"	70.3333333333333	69.1428571428571	18.7142857142857	31.1428571428571	0	71.25	63.9090909090909	45.8461538461538	28.6875	18.9285714285714	45.2	0	72.3333333333333
"BTBD19"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AKR1A1"	67.2222222222222	78.9285714285714	294.857142857143	81.0714285714286	29	109.125	0.454545454545455	79.0769230769231	64.5	95.7142857142857	48.6	73.1428571428571	0
"AP2B1"	61.3333333333333	81	0.714285714285714	4.92857142857143	1.4	0	33.5454545454545	0	43.5	43.2857142857143	32.6	0.285714285714286	160.666666666667
"ANKRD20A9P"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARSK"	0	0	56.7142857142857	1.92857142857143	0	0	15.0909090909091	36	17.125	0	17	4	0
"ABL2"	6.55555555555556	41.2857142857143	0	21.3571428571429	0	8.25	87.2727272727273	0.615384615384615	45.1875	0	4	0.571428571428571	60.3333333333333
"BCOR"	16.1111111111111	37.0714285714286	0	0.857142857142857	0.3	0	104.909090909091	20.3076923076923	6.3125	0	0	97	2.33333333333333
"ADRM1"	0	25.4285714285714	0	10.7142857142857	9	0	63.6363636363636	0	0	9.07142857142857	0	0	0
"ABCG1"	0.111111111111111	1.28571428571429	0	0	0	0	1.36363636363636	0	0	0	8	0	116.333333333333
"ATG9B"	1.11111111111111	0	0	0	0	0	18.6363636363636	0	0	0	0	0	0
"ADAMTS5"	16	3.5	43.4285714285714	0	98.7	69.125	0	2.38461538461538	0	22.4285714285714	163.2	60	0
"APH1A"	5.22222222222222	31.9285714285714	0	5.78571428571429	0	0	0	0.153846153846154	6.9375	0	0	0	0
"BNC2"	0.111111111111111	0	9.85714285714286	0	0	83.75	0	0	0	1.14285714285714	0	0	0
"BPNT1"	0	7.85714285714286	0	21.2142857142857	0	0	0.0909090909090909	0	0	0	0	0	0
"APOM"	0	0	0	8.35714285714286	0	0	0	0	0	0	0	0	0
"ANKRD36BP1"	33.4444444444444	0.785714285714286	0	0	0	54.375	0	0	1.5625	0	0	0	0
"BRDT"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARFGEF2"	62.5555555555556	43.5714285714286	91.4285714285714	1.71428571428571	102.5	0	21	17.7692307692308	19.75	6.28571428571429	0	79.2857142857143	0
"ARHGEF19"	0	18.3571428571429	0	5.78571428571429	0	0	0	0.0769230769230769	2.8125	0	0	0	0
"ARL1"	88.8888888888889	47.3571428571429	0	53.4285714285714	92.4	65.875	11.1818181818182	42.8461538461538	34.6875	41.1428571428571	75.2	0	65
"C11orf87"	0	0	0	0	0	0	0	0	0	0	0	0	7
"ACTL8"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABHD8"	0	0	7	2.5	0	0	0	0	0.4375	0	0	0	2.66666666666667
"ACTC1"	0	40.5	0	0	0	0	0	0	0	0	0	0	0
"ARHGEF33"	0	0	0	0	0	0	0	0	0	0	1.8	0	0
"AICDA"	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0
"C10orf99"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BMP4"	0	0	48.1428571428571	1.07142857142857	0	60.5	0	0	0	4.85714285714286	0	30.2857142857143	0
"BOP1"	0	0	0	0	0	0	0	0	0	0	39	0	0
"C12orf65"	14.5555555555556	2.64285714285714	6	8.5	29.5	0	0	0	28.75	38.1428571428571	13.2	22	76.6666666666667
"BVES"	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0
"BCAR4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM19"	12.1111111111111	0.142857142857143	5.14285714285714	1.21428571428571	9.3	3.875	20.8181818181818	0.384615384615385	0.6875	0	0.8	0.142857142857143	0
"AK2"	0.333333333333333	91.7142857142857	47.1428571428571	18.8571428571429	44.9	5.25	38.9090909090909	36.6923076923077	64.6875	25.5714285714286	127.6	15.5714285714286	47.3333333333333
"ATAD1"	0.555555555555556	119.357142857143	0	37.3571428571429	0	0	0	0	4.5	0	0	31.4285714285714	108.333333333333
"C11orf40"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C12orf43"	10.8888888888889	0	0	0.571428571428571	0.9	0	0	38.8461538461538	0	3.21428571428571	28.4	0	0
"ANKRD24"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAMTSL2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARL13A"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADCY1"	19.4444444444444	11.5	0	0	0	0	0	0	0	0	59	0	180.333333333333
"BTNL3"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C12orf32"	24.6666666666667	30.5714285714286	0	14.5	0	0	0	30.1538461538462	56.8125	0.0714285714285714	126.8	102	36
"BROX"	1.11111111111111	0	0	0.142857142857143	36.9	0	0	0	2.9375	0	5	0	0
"ARNT"	9.55555555555556	0.285714285714286	2.28571428571429	21.9285714285714	0	10.125	24.7272727272727	0.461538461538462	3.1875	39.1428571428571	0	7.28571428571429	2.33333333333333
"AFF3"	0	0	0	0	44.7	0	0	1.92307692307692	0	0	0	0	0
"BHLHE41"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADH6"	0	0	40.5714285714286	0	0	0.625	0	0	21.5	0	4.4	11	0
"ANKMY2"	42.6666666666667	42.2142857142857	19.5714285714286	20.2142857142857	1	0	0.0909090909090909	59.3076923076923	14.3125	0	0	0	0
"BLNK"	0.222222222222222	0	0	22.5	0	0	0	14.8461538461538	24.75	0	0	0	0
"ALDH3B1"	0	0	26.4285714285714	0	0	0	0	0	0	0	0	0	0
"APOL6"	0	0	0	0	0	0	0.272727272727273	0	0	0	0	0	0
"BPI"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAR"	40.6666666666667	192.071428571429	32	8.28571428571429	84.3	0.125	24	47.6153846153846	71.8125	94.5	116.4	18.2857142857143	0
"BSN"	56.8888888888889	0.357142857142857	0	0	0	0	0	0	0	0	0	0	36.3333333333333
"BDNF"	0	0	0	23	0	0	0	0	0	0	19	0	0
"API5"	4.77777777777778	28.5714285714286	0	9.92857142857143	66	0	0.272727272727273	6.69230769230769	13.125	44.7142857142857	0	11.7142857142857	26.3333333333333
"BTN2A2"	0	0	0	0.785714285714286	0	0	0	6.92307692307692	0	0	0	0	0
"C15orf39"	0.333333333333333	0	0	31.7857142857143	4.8	0	0	0	15.3125	0	0	0	0
"ADAMTS17"	0	0	0	1.5	0	125.5	0	26.6153846153846	25.3125	0	0	0	0
"ALDH7A1"	1.22222222222222	106.357142857143	0	27.5714285714286	35.9	0	2.09090909090909	7.61538461538461	45.5	10.6428571428571	0	2.71428571428571	0
"ADK"	41.8888888888889	4.14285714285714	0	15.2142857142857	1.5	0	0	0	0	42.8571428571429	0	0	99.6666666666667
"ATP10B"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANO7"	0	0	0	0	0	3.125	0	0	0	0	0	0	0
"BLMH"	59.5555555555556	3.85714285714286	0	12.2857142857143	0	0.125	85.9090909090909	37.0769230769231	16.5	0	100.2	6.28571428571429	44.6666666666667
"ATXN7"	0	0.0714285714285714	7.57142857142857	2.28571428571429	0	68.375	0	11	18.875	0	12.8	0	0
"BATF3"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMD1"	34.2222222222222	14.8571428571429	0.142857142857143	8.21428571428571	19.5	0	1.09090909090909	0.461538461538462	74.3125	0.428571428571429	58.2	0.142857142857143	11.6666666666667
"ATP6AP1"	58.2222222222222	42.5	120	58.5714285714286	74.5	0	68.4545454545455	100.307692307692	105.1875	45.2857142857143	34.4	64.8571428571429	125
"C16orf91"	0	0	0.142857142857143	2.42857142857143	0	0	18	8.53846153846154	6.5625	0	0	25	0
"AKAP10"	4.11111111111111	0.142857142857143	0.285714285714286	1.5	0	0	0	3	31.25	0	0	0	0
"ARHGAP24"	0	0	0	36.8571428571429	0.1	0	0	19.4615384615385	0.25	0	12	0.142857142857143	0
"ACSS1"	0	0	0	3.35714285714286	0	0	0	18.9230769230769	41.5	0	0	0	0
"C10orf113"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADC"	0	0	0	0	0	0	0	0.461538461538462	0	0	0	0	0
"ALCAM"	31.3333333333333	7.14285714285714	0	5.35714285714286	18.9	16.875	0	13.8461538461538	0	1.14285714285714	0	26.2857142857143	142.333333333333
"ABCA6"	0	0	0	0	0	0	0	0	0	16.3571428571429	0.6	0	0
"AURKAIP1"	28.1111111111111	51.3571428571429	0	46.5	60.1	18.375	0.181818181818182	33.1538461538462	46.5	19.2142857142857	29.8	48	0
"BBS10"	15.7777777777778	0	70.4285714285714	2.92857142857143	112.7	0	0	5.84615384615385	25.0625	0	0	0.142857142857143	13.3333333333333
"ARMCX6"	5	16.5	55.1428571428571	22.5714285714286	24.6	38.75	11.7272727272727	10.3846153846154	68.6875	38.4285714285714	5.4	30.1428571428571	0
"ARHGAP11A"	0	0	0	0.428571428571429	0	0	0	0	29.4375	0	0	1	0
"ARPC4"	4.66666666666667	6.92857142857143	1.71428571428571	3.64285714285714	12.9	0	35.6363636363636	12.0769230769231	19.75	10.5714285714286	5.6	25.5714285714286	16.6666666666667
"ARMCX2"	0	0.0714285714285714	0	0	41.1	2.75	0	0	7.5625	0	0	0	0
"BRD7"	54.1111111111111	5.85714285714286	27.5714285714286	15	101.4	1.375	8.54545454545454	4.69230769230769	39.9375	2.71428571428571	6.6	46.4285714285714	0
"ARIH1"	0	2.5	0	20.5714285714286	0	65.75	53	0.0769230769230769	0	0	25.2	0	0
"ARL4D"	0	37.7142857142857	0	0	0	0.125	0	0	0	30.7857142857143	0	0	0
"ATP10A"	0	0	0	0	0	0	0	0	0	2.14285714285714	0	0	0
"BCORP1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARHGAP12"	0	18.3571428571429	0	13.0714285714286	138.2	0	0	0	18.8125	0	19	0	0
"AMMECR1"	17.2222222222222	45.4285714285714	0	5.42857142857143	0	0	0	0	24.125	11.1428571428571	0	2.28571428571429	0
"ALG1L2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARR3"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARFGAP2"	0	0	106.571428571429	29.5	13.5	48.125	33.2727272727273	7.84615384615385	8	18.6428571428571	31	47.8571428571429	0
"C12orf39"	0	0	0	0.285714285714286	0	0	0	0	0	0	0	0	0
"BSDC1"	20.6666666666667	0.857142857142857	0	19	0	0.5	0	0.230769230769231	0.125	33.5	0	0.285714285714286	1
"BTNL9"	0	0	0	0	0	0	0.545454545454545	0	0	0	0	0	0
"BEAN1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C14orf38"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACAP1"	0.333333333333333	0	0	0	0	0	0	0	3.125	0	0	0	6.33333333333333
"AP1S1"	0	12	0	0.571428571428571	0	0	0	5.84615384615385	0.8125	0	9.2	0	3.66666666666667
"AP1G1"	17.6666666666667	0.142857142857143	0	6.35714285714286	12.1	90.75	0	8.53846153846154	1.625	0.428571428571429	102.4	0.285714285714286	167.666666666667
"ABLIM2"	9.44444444444444	0	0	0.285714285714286	0.4	0	0	0	0	0	0	0	1
"ARFGAP3"	10.4444444444444	75.6428571428571	0	6.5	47.8	76.5	0.363636363636364	36.8461538461538	26.0625	23.5	100	138.285714285714	0
"ADAM3A"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BICC1"	0	0	15.1428571428571	0	0	0	0	5.46153846153846	39.4375	0	0	0	0
"ADRA1B"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASGR2"	0	0	0	0.642857142857143	0	0	0	0	0	0	0	0	0
"ABCC12"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AXDND1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCE1"	33.6666666666667	0	23.5714285714286	57.6428571428571	0.9	0.25	51.0909090909091	40.8461538461538	14.0625	46.5714285714286	0	65.8571428571429	65.6666666666667
"ATP2C2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACACB"	0	0	0	0	0	0	0	0	0.4375	0	2	0	0
"ACYP2"	0	18.5714285714286	9.42857142857143	9.35714285714286	16.7	0	0	20.3076923076923	24.375	0	25	6.57142857142857	0
"BCORL1"	0	1.85714285714286	0	0.357142857142857	0	0.5	4.09090909090909	0.384615384615385	0.75	3.14285714285714	0	0	0
"BRAP"	34.5555555555556	22.6428571428571	0	9.21428571428571	0	0	0	33.3076923076923	0	0.357142857142857	121.2	0	0
"ACSBG1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"APC2"	0	5	0	0	0	0	0	0	0	0	0	0	0
"ANKRD2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AKAP6"	32.8888888888889	0	0	0	0	0	0.0909090909090909	0	0	0	0	0	0
"C11orf30"	50	9.92857142857143	0	1.21428571428571	21.8	91.75	5.27272727272727	7.38461538461539	1.4375	0	0	17.4285714285714	9
"C10orf105"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C15orf48"	11.8888888888889	60.8571428571429	0	0	0	0	0	0	2.5625	0	136.8	0	151.333333333333
"ABCA2"	17	15.0714285714286	0	0	0	6.625	0	0	0	0	0	0	0
"APOBEC3H"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACOX3"	0	0	0	0.714285714285714	7	0	0	2.15384615384615	0	0	0	0	92.3333333333333
"ABCF1"	15.7777777777778	13.5714285714286	80.5714285714286	10.9285714285714	0.2	55.125	37.8181818181818	25.4615384615385	24.1875	0	0	1.57142857142857	106
"ADO"	0	15.5714285714286	0	0.214285714285714	0	0	0	0	0	2	0	0	0
"ARMC10"	19.3333333333333	29.4285714285714	4.71428571428571	18.1428571428571	0	0	41.4545454545455	6.69230769230769	10.5	0	0	64	0
"C16orf92"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADH7"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACVR2B"	0.111111111111111	6.92857142857143	10.1428571428571	0.642857142857143	5.9	0	42.9090909090909	11.3846153846154	15.75	8.21428571428571	11	0	0
"APOOL"	0	5.64285714285714	0	3.85714285714286	0.4	0	66.9090909090909	30.9230769230769	7.9375	0	5.2	0	8
"ALG6"	0	0	142.857142857143	0	0	0	2.45454545454545	0	46.4375	63.5714285714286	20	0	0
"BFSP2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATP6V1C2"	0	0.0714285714285714	0.142857142857143	13.3571428571429	0.1	0	0.0909090909090909	0.230769230769231	0	0	0	0.142857142857143	0
"APOE"	0	10.4285714285714	319.142857142857	15.2142857142857	64	2.5	0	5.92307692307692	25.1875	155	0	102	0
"ANP32E"	23.7777777777778	1.21428571428571	0	16.2857142857143	0	35.875	0.181818181818182	13	39.75	0	7	59.5714285714286	0
"ALKBH2"	0	10.7142857142857	0	14.5714285714286	23.8	0.25	0	13.6923076923077	26.25	0	0.4	3	0
"AFAP1L1"	0	0	0	0	0	175.5	50.6363636363636	0	0	0	0	0	0
"ANXA2P2"	0	0.142857142857143	0.285714285714286	0.785714285714286	6	0.375	7.09090909090909	2.30769230769231	4.5	1.92857142857143	0	3	1
"BTBD11"	0	0	0	0	0	0	0	0	0	0	42.6	0	0
"C11orf58"	264.333333333333	291.428571428571	153.142857142857	215.357142857143	537.7	95.875	119.636363636364	311.076923076923	231.8125	181.071428571429	353.4	73.2857142857143	117.333333333333
"ATP9B"	1.66666666666667	4.5	0	0	19.7	39.75	31.7272727272727	0	0	0	0	0.285714285714286	14
"AMPH"	0	0	0	0	153.5	0	0	0	0	0	0	177	0
"ANAPC10"	17.6666666666667	54.2857142857143	28.2857142857143	37.7857142857143	0.1	0	32.8181818181818	24.6153846153846	13.6875	40.7142857142857	31.2	0	0
"BCAS4"	0	14.2857142857143	0	0	3.3	0	0	18.1538461538462	0	0	0	0	0
"BET3L"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C14orf133"	0	9.5	0	28.7142857142857	21.7	0	95.1818181818182	0	4.875	0	28	13.8571428571429	0
"BIRC7"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BK250D10.8"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C15orf53"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM9"	0	0.0714285714285714	44.8571428571429	9.64285714285714	46.9	0	0	100.923076923077	22.875	0	0	0	0
"ALOX12P2"	0.888888888888889	0	0	0	0	0	0	0	0	0	0	0	0
"ARHGAP32"	5.77777777777778	1.07142857142857	0.571428571428571	4.35714285714286	0.8	0.75	0	4.38461538461539	0	57.3571428571429	0	40.4285714285714	0
"ARCN1"	53.7777777777778	73.2142857142857	130.571428571429	87.5	0.2	61.25	8.54545454545454	43.3846153846154	24	169.571428571429	0	71.5714285714286	0
"AKT1"	7.66666666666667	53.2857142857143	0	14.4285714285714	0	0	0	56.8461538461538	45.1875	0	0	21.8571428571429	0
"C12orf57"	72.2222222222222	71.4285714285714	90.1428571428571	44	103.1	10.125	15.9090909090909	40.2307692307692	24.9375	121	54	117	67.6666666666667
"BCAS1"	4.66666666666667	1.92857142857143	0	0	0	0	0	0	0	0	2.6	0	0
"ARSH"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANLN"	0	0	0	22.2857142857143	0	0	0	0	0	0	0	198.285714285714	0
"ARRDC1"	0	0	0	0	0	0	0	6.15384615384615	3.75	0.785714285714286	0	0	0
"BLVRA"	0.111111111111111	71	0	12	73.4	0	71.8181818181818	12.3076923076923	34	29.1428571428571	33.2	80.7142857142857	12
"BAG2"	19.5555555555556	0	0	1.35714285714286	36.4	0	0	25.7692307692308	0.0625	39	0	0	105.666666666667
"APOBEC3A"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASB11"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTL10"	0	0	0	0	0	0	0	0	0	0	0	0	0
"APOO"	0	76.7857142857143	0	23.3571428571429	0	0	34.0909090909091	0.538461538461538	15.5	10.8571428571429	86.8	6.42857142857143	111.666666666667
"AKAP1"	4.66666666666667	0.571428571428571	0	5.78571428571429	0	0	0	8	4.375	0	0	0	0
"BST1"	0	0	0	0	0	0	0	0	6.1875	0	0	0	0
"ASB12"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALKBH7"	15.1111111111111	7.5	10.2857142857143	16	48.4	0	25.1818181818182	25.1538461538462	33.75	34.2142857142857	0	0	62.6666666666667
"BCL9L"	0	0.0714285714285714	0	0	37.8	1.875	0	0	0	0.142857142857143	0	0	0
"C15orf34"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BPESC1"	0	0	0	0	0	0	0	0	0	0	0	0	0
